Board,SH_R,VH_R
MK1_1_B1,3.83,4.83
MK1_1_B2,4.83,5.11
MK1_1_B3,4.5,4.66
MK1_1_B4,4.32,4.24
MK1_1_B5,4.69,4.98
MK1_1_B6,5.63,5.89
MK1_1_B7,5.27,5.33
MK1_1_B8,4.31,4.27
MK1_1_B9,4.5,4.5
MK1_1_B10,3.57,4.5
MK3_B1,4.74,4.6
MK3_B2,5.16,5.28
MK3_B3,6.23,5.47
MK3_B4,4.27,4.18
MK3_B5,5.06,5.05
MK3_B6,4.81,4.31
MK3_B7,5.06,4.85
MK3_B8,6.5,5.83
MK3_B9,6.52,5.39
MK3_B10,5.34,5.74
MK4_B1,5.4,4.65
MK4_B2,5.46,4.68
MK4_B3,5.59,4.76
MK4_B4,5.54,4.93
MK4_B5,5.72,5.22
MK4_B6,5.74,5.2
MK4_B7,5.46,4.73
MK5_B1,3.12,2.6
MK5_B2,2.27,1.72
MK5_B3,2.97,2.54
MK5_B5,3.26,2.75
MK5AA_B4,2.24,1.69
MK6F_B1,7.36,9.4
MK6AA_B202,3.27,2.4
MK6C_B254,2.36,1.58
MK6C_B258,3.12,2.27

